,index,Date_Gregorian,Date_Persian,Aquifer_Area,Aquifer_Storage_Coefficient,Aquifer_Head,Aquifer_Head_Arithmetic_Mean,Aquifer_Head_Geometric_Mean,Aquifer_Head_Harmonic_Mean,Mahdodeh_Name,Mahdodeh_Code,Aquifer_Name,Adjusted_Aquifer_Head,year_Date_Persian,month_Date_Persian,day_Date_Persian
0,0,2001-04-04 00:00:00,1380-1-15,2583.933464378716,0.07000000000000002,1044.5342322208771,1035.576494761511,1032.7466122584767,1029.84017838343,جوین,4740,جوین,1043.0124340016664,1380,1,15
1,1,2001-05-05 00:00:00,1380-2-15,2583.933464378716,0.07000000000000002,1044.1650389814583,1035.2080461209089,1032.378107822453,1029.471699291249,جوین,4740,جوین,1042.6432407622476,1380,2,15
2,2,2001-06-05 00:00:00,1380-3-15,2583.933464378716,0.07000000000000002,1044.0572702451705,1035.1120168394825,1032.2806252523474,1029.372795236478,جوین,4740,جوین,1042.5354720259597,1380,3,15
3,3,2001-07-06 00:00:00,1380-4-15,2583.933464378716,0.07000000000000002,1043.9113559196003,1034.9774700610221,1032.1441980736452,1029.2344315195423,جوین,4740,جوین,1042.3895577003896,1380,4,15
4,4,2001-08-06 00:00:00,1380-5-15,2583.933464378716,0.07000000000000002,1043.714961378886,1034.7789706378987,1031.94393788563,1029.0326116050237,جوین,4740,جوین,1042.1931631596754,1380,5,15
5,5,2001-09-06 00:00:00,1380-6-15,2583.933464378716,0.07000000000000002,1043.509070545684,1034.5752663470225,1031.7365991842037,1028.8217402969203,جوین,4740,جوین,1041.9872723264732,1380,6,15
6,6,2001-10-07 00:00:00,1380-7-15,2607.0169255783685,0.07,1041.9872723264732,1034.509534442569,1031.6731293483851,1028.760481557139,جوین,4740,جوین,1041.9872723264732,1380,7,15
7,7,2001-11-06 00:00:00,1380-8-15,2607.0169255783685,0.07,1041.9213851088023,1034.4469440409052,1031.611836304193,1028.7006036554753,جوین,4740,جوین,1041.9213851088023,1380,8,15
8,8,2001-12-06 00:00:00,1380-9-15,2607.0169255783685,0.07,1041.9040726344356,1034.4477487543688,1031.6161013894668,1028.7083259019469,جوین,4740,جوین,1041.9040726344356,1380,9,15
9,9,2002-01-05 00:00:00,1380-10-15,2607.0169255783685,0.07,1041.9576900629745,1034.5149732517482,1031.6865213464498,1028.7821640935756,جوین,4740,جوین,1041.9576900629745,1380,10,15
10,10,2002-02-04 00:00:00,1380-11-15,2607.0169255783685,0.07,1041.9890917773891,1034.5548744364712,1031.730375328777,1028.8300116428413,جوین,4740,جوین,1041.9890917773891,1380,11,15
11,11,2002-03-06 00:00:00,1380-12-15,2607.0169255783685,0.07,1041.9814373128816,1034.5566211153762,1031.736774067111,1028.841290708691,جوین,4740,جوین,1041.9814373128816,1380,12,15
12,12,2002-04-04 00:00:00,1381-1-15,2607.0169255783685,0.07,1041.91628051196,1034.4898175491553,1031.6684117975635,1028.7715348013173,جوین,4740,جوین,1041.91628051196,1381,1,15
13,13,2002-05-05 00:00:00,1381-2-15,2607.0169255783685,0.07,1041.7609246381135,1034.3378075895369,1031.5185121906964,1028.6238192663407,جوین,4740,جوین,1041.7609246381135,1381,2,15
14,14,2002-06-05 00:00:00,1381-3-15,2607.0169255783685,0.07,1041.585983584332,1034.1830023171274,1031.3622084885112,1028.4658909954687,جوین,4740,جوین,1041.585983584332,1381,3,15
15,15,2002-07-06 00:00:00,1381-4-15,2607.0169255783685,0.07,1041.4634253382062,1034.0780505565758,1031.259770028868,1028.366143213361,جوین,4740,جوین,1041.4634253382062,1381,4,15
16,16,2002-08-06 00:00:00,1381-5-15,2607.0169255783685,0.07,1041.3281851543043,1033.9481297172656,1031.1332403803212,1028.2430266564038,جوین,4740,جوین,1041.3281851543043,1381,5,15
17,17,2002-09-06 00:00:00,1381-6-15,2607.0169255783685,0.07,1041.1425211270741,1033.7663827049387,1030.9460525490892,1028.0503212025308,جوین,4740,جوین,1041.1425211270741,1381,6,15
18,18,2002-10-07 00:00:00,1381-7-15,2607.0169255783685,0.07,1041.0309229437917,1033.660628427871,1030.8415351517608,1027.9471631926965,جوین,4740,جوین,1041.0309229437917,1381,7,15
