Hoze30Name,Hoze30Code,Hoze6Name,Hoze6Code,MahdodehName,MahdodehCode,OstanMotevali
بندرعباس - سدیج,28,خلیج فارس و دریای عمان,2,احمدی,2806,هرمزگان
جراحی و زهره,24,خلیج فارس و دریای عمان,2,اردکان ـ چشمه سفید,2424,فارس
کارون بزرگ,23,خلیج فارس و دریای عمان,2,اردل,2326,چهار محال بختیاری
مند,26,خلیج فارس و دریای عمان,2,اردمحمله,2619,فارس
مرزی غرب,21,خلیج فارس و دریای عمان,2,ازگله,2112,کرمانشاه
کارون بزرگ,23,خلیج فارس و دریای عمان,2,ازنا ـ الیگودرز,2342,لرستان
کرخه,22,خلیج فارس و دریای عمان,2,اسدآباد,2232,همدان
کرخه,22,خلیج فارس و دریای عمان,2,اسلام آباد,2218,کرمانشاه
کارون بزرگ,23,خلیج فارس و دریای عمان,2,اشترینان,2340,لرستان
کرخه,22,خلیج فارس و دریای عمان,2,الشتر,2210,لرستان
جراحی و زهره,24,خلیج فارس و دریای عمان,2,امام زاده جعفر,2417,کهکیلویه و بویر احمد
کل - مهران,27,خلیج فارس و دریای عمان,2,انجیرک ـ دهویه,2724,فارس
کارون بزرگ,23,خلیج فارس و دریای عمان,2,اندیکا,2308,خوزستان
کارون بزرگ,23,خلیج فارس و دریای عمان,2,انوچ,2337,لرستان
حله,25,خلیج فارس و دریای عمان,2,اهرم,2512,بوشهر
کارون بزرگ,23,خلیج فارس و دریای عمان,2,اهواز جنوبی,2302,خوزستان
کارون بزرگ,23,خلیج فارس و دریای عمان,2,اهواز شمالی,2303,خوزستان
کرخه,22,خلیج فارس و دریای عمان,2,اوان,2204,خوزستان
مند,26,خلیج فارس و دریای عمان,2,اوز ـ دنگ,2648,فارس
مند,26,خلیج فارس و دریای عمان,2,ایج,2634,فارس
کارون بزرگ,23,خلیج فارس و دریای عمان,2,ایذه ـ پیون,2310,خوزستان
بلوچستان جنوبی,29,خلیج فارس و دریای عمان,2,ایرافشان,2915,سیستان و بلوچستان
مند,26,خلیج فارس و دریای عمان,2,ایزدخواست,2647,فارس
کل - مهران,27,خلیج فارس و دریای عمان,2,ایسین,2702,هرمزگان
بندرعباس - سدیج,28,خلیج فارس و دریای عمان,2,ایسین شرقی,2802,هرمزگان
مرزی غرب,21,خلیج فارس و دریای عمان,2,ایلام,2119,ایلام
مرزی غرب,21,خلیج فارس و دریای عمان,2,ایوان ـ سومار,2118,ایلام
کارون بزرگ,23,خلیج فارس و دریای عمان,2,آهودشت,2334,خوزستان
کارون بزرگ,23,خلیج فارس و دریای عمان,2,بازفت,2321,چهار محال بختیاری
جراحی و زهره,24,خلیج فارس و دریای عمان,2,باشت,2419,کهکیلویه و بویر احمد
کل - مهران,27,خلیج فارس و دریای عمان,2,باشدو (زادمحمود),2705,فارس
جراحی و زهره,24,خلیج فارس و دریای عمان,2,باغ ملک,2404,خوزستان
مند,26,خلیج فارس و دریای عمان,2,باغان,2604,بوشهر
حله,25,خلیج فارس و دریای عمان,2,بالاده,2507,فارس
مرزی غرب,21,خلیج فارس و دریای عمان,2,بانه (چی چوران),2102,کردستان
بلوچستان جنوبی,29,خلیج فارس و دریای عمان,2,باهوکلات ـ نگور,2910,سیستان و بلوچستان
کل - مهران,27,خلیج فارس و دریای عمان,2,باینوج,2716,هرمزگان
کارون بزرگ,23,خلیج فارس و دریای عمان,2,بختیاری,2336,اصفهان
حله,25,خلیج فارس و دریای عمان,2,برازجان,2503,بوشهر
حله,25,خلیج فارس و دریای عمان,2,برم,2506,فارس
کارون بزرگ,23,خلیج فارس و دریای عمان,2,بروجن,2333,چهار محال بختیاری
کل - مهران,27,خلیج فارس و دریای عمان,2,بلاغ ـ بهمن,2732,هرمزگان
بندرعباس - سدیج,28,خلیج فارس و دریای عمان,2,بمانی,2816,هرمزگان
مند,26,خلیج فارس و دریای عمان,2,بن رودزنگنه,2641,فارس
بلوچستان جنوبی,29,خلیج فارس و دریای عمان,2,بنت ـ هنگام,2903,سیستان و بلوچستان
حله,25,خلیج فارس و دریای عمان,2,بندر دیلم,2501,بوشهر
بندرعباس - سدیج,28,خلیج فارس و دریای عمان,2,بندرعباس,2801,هرمزگان
حله,25,خلیج فارس و دریای عمان,2,بندرگناوه,2502,بوشهر
کل - مهران,27,خلیج فارس و دریای عمان,2,بندرلنگه,2733,هرمزگان
بلوچستان جنوبی,29,خلیج فارس و دریای عمان,2,بندینی ـ بیر,2905,سیستان و بلوچستان
جراحی و زهره,24,خلیج فارس و دریای عمان,2,بهبهان,2407,خوزستان
مند,26,خلیج فارس و دریای عمان,2,بوشکان,2609,بوشهر
حله,25,خلیج فارس و دریای عمان,2,بوشهر ـ دلوار,2513,بوشهر
مند,26,خلیج فارس و دریای عمان,2,بیدشهر,2643,فارس
کرخه,22,خلیج فارس و دریای عمان,2,بیستون ـ دیناور,2227,کرمانشاه
مرزی غرب,21,خلیج فارس و دریای عمان,2,بیونیژ ـ حر,2105,کرمانشاه
مرزی غرب,21,خلیج فارس و دریای عمان,2,پاوه,2107,کرمانشاه
کرخه,22,خلیج فارس و دریای عمان,2,پل دختر,2206,لرستان
مرزی غرب,21,خلیج فارس و دریای عمان,2,پل ذهاب,2117,کرمانشاه
بلوچستان جنوبی,29,خلیج فارس و دریای عمان,2,پی بشک,2901,هرمزگان
بلوچستان جنوبی,29,خلیج فارس و دریای عمان,2,پیر سهراب ـ عورکی,2911,سیستان و بلوچستان
مرزی غرب,21,خلیج فارس و دریای عمان,2,پیرانشهر (خانه),2104,آذربایجان غربی
بلوچستان جنوبی,29,خلیج فارس و دریای عمان,2,پیشین,2913,سیستان و بلوچستان
کل - مهران,27,خلیج فارس و دریای عمان,2,تاشکوئیه,2718,هرمزگان
مرزی غرب,21,خلیج فارس و دریای عمان,2,تپه اسماعیل ـ امیرآباد,2111,کردستان
جراحی و زهره,24,خلیج فارس و دریای عمان,2,تخت دراز,2408,کهکیلویه و بویر احمد
کل - مهران,27,خلیج فارس و دریای عمان,2,تنب,2738,هرمزگان
کرخه,22,خلیج فارس و دریای عمان,2,تویسرکان,2234,همدان
بلوچستان جنوبی,29,خلیج فارس و دریای عمان,2,تیسکوفان ـ چابهار,2909,سیستان و بلوچستان
