stationName,stationCode,stationOldCode,drainageArea6,drainageArea30,areaStudyName,areaStudyCode,omor,county,startYear,longDecimalDegrees,latDecimalDegrees,elevation
هی هی قوچان,110111003,11-003,دریای خزر,اترک,قوچان - شیروان,1708,قوچان,قوچان,1359,58.52861111,37.11055556,1333
کارخانه قند نيشابور,110147050,47-050,فلات مرکزی,کویر مرکزی,نیشابور,4738,نیشابور,فیروزه,1365,58.59777778,36.29361111,1199
امور آب سبزوار,110147060,47-060,فلات مرکزی,کویر مرکزی,سبزوار,4735,سبزوار,سبزوار,1360,57.685,36.21638889,977
گناباد,110147082,47-082,فلات مرکزی,کویر مرکزی,گناباد,4725,گناباد,گناباد,1354,58.67333333,34.34138889,1125
جنت آباد جنگل,110147120,47-120,فلات مرکزی,کویر مرکزی,جنگل,4726,رشتخوار,رشتخوار,1366,59.29555556,34.74055556,925
درونه,110147126,47-126,فلات مرکزی,کویر مرکزی,درونه,4716,بردسکن,بردسکن,1359,57.40833333,35.17666667,866
مزینان,110147128,47-128,فلات مرکزی,کویر مرکزی,داورزن,4734,سبزوار,داورزن,1360,56.81472222,36.31666667,823
فدک,110155016,55-016,مرزی شرق,نمکزار خواف,خواف,5101,تربت حیدریه,خواف,1370,59.82555556,34.76055556,988
کرات خواف,110161006,61-006,قره قوم,قره قوم,کرات,6013,تربت جام,تایباد,1364,60.56722222,34.56555556,1070
باغسنگان تربت جام,110162006,62-006,قره قوم,قره قوم,فریمان - تربت جام,6010,تربت جام,تربت جام,1345,60.60229527,35.22440819,938
فریمان,110162090,62-090,قره قوم,قره قوم,فریمان - تربت جام,6010,تربت جام,فریمان,1367,59.84611111,35.695,1415
اداره مرکزی مشهد,110164018,64-018,قره قوم,قره قوم,مشهد - چناران,6007,مشهد,مشهد,1346,59.57361111,36.31305556,970
چناران,110164056,64-056,قره قوم,قره قوم,مشهد - چناران,6007,مشهد,چناران,1364,59.12638889,36.64777778,1170
سرخس,110165013,65-013,قره قوم,قره قوم,سرخس,6004,سرخس,سرخس,1340,61.15611111,36.53333333,273
درگز,110168010,68-010,قره قوم,قره قوم,درگز,6001,درگز,درگز,1373,59.1,37.43611111,492
