,MAHDOUDE_NAME,AQUIFER_NAME,LOCATION_NAME,DATE_PERSIAN,DATE_GREGORIAN,VALUE,DELTA_DAY,DATE_PERSIAN_NEW,DATE_GREGORIAN_NEW,VALUE_NEW
0,سرخس,سرخس,s.6,1361-1-25,1982-04-14,3.91,,1361-1-15,1982-04-04,3.91
1,سرخس,سرخس,s.6,1361-2-18,1982-05-08,3.76,24.0,1361-2-15,1982-05-05,3.76
2,سرخس,سرخس,s.6,1361-4-28,1982-07-19,4.95,72.0,1361-4-15,1982-07-06,4.95
3,سرخس,سرخس,s.6,1361-5-26,1982-08-17,5.29,29.0,1361-5-15,1982-08-06,5.29
4,سرخس,سرخس,s.6,1361-6-25,1982-09-16,5.44,30.0,1361-6-15,1982-09-06,5.44
5,سرخس,سرخس,s.6,1361-7-27,1982-10-19,5.49,33.0,1361-7-15,1982-10-07,5.49
6,سرخس,سرخس,s.6,1361-8-24,1982-11-15,5.31,27.0,1361-8-15,1982-11-06,5.31
7,سرخس,سرخس,s.6,1361-9-24,1982-12-15,5.08,30.0,1361-9-15,1982-12-06,5.08
8,سرخس,سرخس,s.6,1361-10-26,1983-01-16,4.99,32.0,1361-10-15,1983-01-05,4.99
9,سرخس,سرخس,s.6,1361-11-26,1983-02-15,5.0,30.0,1361-11-15,1983-02-04,5.0
10,سرخس,سرخس,s.6,1361-12-20,1983-03-11,5.0,24.0,1361-12-15,1983-03-06,5.0
11,سرخس,سرخس,s.6,1362-1-28,1983-04-17,4.27,37.0,1362-1-15,1983-04-04,4.27
12,سرخس,سرخس,s.6,1362-2-29,1983-05-19,3.39,32.0,1362-2-15,1983-05-05,3.39
13,سرخس,سرخس,s.6,1362-3-24,1983-06-14,3.97,26.0,1362-3-15,1983-06-05,3.97
14,سرخس,سرخس,s.6,1362-4-22,1983-07-13,4.45,29.0,1362-4-15,1983-07-06,4.45
15,سرخس,سرخس,s.6,1362-5-24,1983-08-15,4.91,33.0,1362-5-15,1983-08-06,4.91
16,سرخس,سرخس,s.6,1362-6-27,1983-09-18,5.17,34.0,1362-6-15,1983-09-06,5.17
17,سرخس,سرخس,s.6,1362-9-10,1983-12-01,5.15,74.0,1362-9-15,1983-12-06,5.15
18,سرخس,سرخس,s.6,1362-10-28,1984-01-18,4.7,48.0,1362-10-15,1984-01-05,4.7
19,سرخس,سرخس,s.6,1362-11-29,1984-02-18,4.71,31.0,1362-11-15,1984-02-04,4.71
20,سرخس,سرخس,s.6,1362-12-16,1984-03-06,4.71,17.0,1362-12-15,1984-03-05,4.71
21,سرخس,سرخس,s.6,1363-1-27,1984-04-16,4.57,41.0,1363-1-15,1984-04-04,4.57
22,سرخس,سرخس,s.6,1363-3-8,1984-05-29,5.12,43.0,1363-3-15,1984-06-05,5.12
23,سرخس,سرخس,s.6,1363-4-14,1984-07-05,5.62,37.0,1363-4-15,1984-07-06,5.62
24,سرخس,سرخس,s.6,1363-10-23,1985-01-13,6.0,192.0,1363-10-15,1985-01-05,6.0
25,سرخس,سرخس,s.6,1364-1-25,1985-04-14,5.98,91.0,1364-1-15,1985-04-04,5.98
26,سرخس,سرخس,s.6,1364-2-19,1985-05-09,6.2,25.0,1364-2-15,1985-05-05,6.2
27,سرخس,سرخس,s.6,1364-3-29,1985-06-19,6.5,41.0,1364-3-15,1985-06-05,6.5
28,سرخس,سرخس,s.6,1364-4-19,1985-07-10,6.62,21.0,1364-4-15,1985-07-06,6.62
29,سرخس,سرخس,s.6,1364-5-29,1985-08-20,6.75,41.0,1364-5-15,1985-08-06,6.75
30,سرخس,سرخس,s.6,1364-6-24,1985-09-15,6.75,26.0,1364-6-15,1985-09-06,6.75
31,سرخس,سرخس,s.6,1364-7-28,1985-10-20,6.78,35.0,1364-7-15,1985-10-07,6.78
32,سرخس,سرخس,s.6,1364-8-29,1985-11-20,6.95,31.0,1364-8-15,1985-11-06,6.95
33,سرخس,سرخس,s.6,1364-10-2,1985-12-23,7.0,33.0,1364-10-15,1986-01-05,7.0
34,سرخس,سرخس,s.6,1364-11-17,1986-02-06,6.86,45.0,1364-11-15,1986-02-04,6.86
35,سرخس,سرخس,s.6,1364-12-7,1986-02-26,6.71,20.0,1364-12-15,1986-03-06,6.71
36,سرخس,سرخس,s.6,1365-1-27,1986-04-16,6.22,49.0,1365-1-15,1986-04-04,6.22
37,سرخس,سرخس,s.6,1365-2-24,1986-05-14,6.2,28.0,1365-2-15,1986-05-05,6.2
38,سرخس,سرخس,s.6,1365-4-4,1986-06-25,6.22,42.0,1365-4-15,1986-07-06,6.22
39,سرخس,سرخس,s.6,1365-5-6,1986-07-28,6.28,33.0,1365-5-15,1986-08-06,6.28
40,سرخس,سرخس,s.6,1365-6-5,1986-08-27,6.4,30.0,1365-6-15,1986-09-06,6.4
41,سرخس,سرخس,s.6,1365-7-9,1986-10-01,6.94,35.0,1365-7-15,1986-10-07,6.94
42,سرخس,سرخس,s.6,1365-8-20,1986-11-11,7.11,41.0,1365-8-15,1986-11-06,7.11
