,level_0,index,MAHDOUDE_NAME,AQUIFER_NAME,LOCATION_NAME,DATE_GREGORIAN_RAW,DATE_PERSIAN_RAW,WATER_TABLE_RAW,STORAGE_COEFFICIENT_LOCATION,THISSEN_LOCATION,THISSEN_AQUIFER,DATA_STATE,WATER_TABLE_MODIFY
0,0,0,جوین - سلطان آباد,جوین,آق قلعه,1997-01-14 00:00:00,1375-10-25,24.52,0.07,,,,24.52
1,1,1,جوین - سلطان آباد,جوین,آق قلعه,1997-02-17 00:00:00,1375-11-29,24.3,0.07,,,,24.3
2,2,2,جوین - سلطان آباد,جوین,آق قلعه,1997-03-12 00:00:00,1375-12-22,24.34,0.07,,,,24.34
3,3,3,جوین - سلطان آباد,جوین,آق قلعه,1997-04-13 00:00:00,1376-01-24,24.64,0.07,,,,24.64
4,4,4,جوین - سلطان آباد,جوین,آق قلعه,1997-05-11 00:00:00,1376-02-21,24.72,0.07,,,,24.72
5,5,5,جوین - سلطان آباد,جوین,آق قلعه,1997-06-14 00:00:00,1376-03-24,24.72,0.07,,,,24.72
6,6,6,جوین - سلطان آباد,جوین,آق قلعه,1997-07-20 00:00:00,1376-04-29,24.93,0.07,,,,24.93
7,7,7,جوین - سلطان آباد,جوین,آق قلعه,1997-08-16 00:00:00,1376-05-25,25.02,0.07,,,,25.02
8,8,8,جوین - سلطان آباد,جوین,آق قلعه,1997-09-07 00:00:00,1376-06-16,25.37,0.07,,,,25.37
9,9,9,جوین - سلطان آباد,جوین,آق قلعه,1997-10-04 00:00:00,1376-07-12,25.22,0.07,,,,25.22
10,10,10,جوین - سلطان آباد,جوین,آق قلعه,1997-11-09 00:00:00,1376-08-18,25.03,0.07,,,,25.03
11,11,11,جوین - سلطان آباد,جوین,آق قلعه,1997-12-07 00:00:00,1376-09-16,25.05,0.07,,,,25.05
12,12,12,جوین - سلطان آباد,جوین,آق قلعه,1998-01-08 00:00:00,1376-10-18,24.87,0.07,,,,24.87
13,13,13,جوین - سلطان آباد,جوین,آق قلعه,1998-02-04 00:00:00,1376-11-15,24.93,0.07,,,,24.93
14,14,14,جوین - سلطان آباد,جوین,آق قلعه,1998-03-16 00:00:00,1376-12-25,24.75,0.07,,,,24.75
15,15,15,جوین - سلطان آباد,جوین,آق قلعه,1998-04-14 00:00:00,1377-01-25,24.92,0.07,,,,24.92
16,16,16,جوین - سلطان آباد,جوین,آق قلعه,1998-05-18 00:00:00,1377-02-28,25.06,0.07,,,,25.06
17,17,17,جوین - سلطان آباد,جوین,آق قلعه,1998-06-07 00:00:00,1377-03-17,25.14,0.07,,,,25.14
18,18,18,جوین - سلطان آباد,جوین,آق قلعه,1998-07-04 00:00:00,1377-04-13,25.25,0.07,,,,25.25
19,19,19,جوین - سلطان آباد,جوین,آق قلعه,1998-08-05 00:00:00,1377-05-14,25.28,0.07,,,,25.28
20,20,20,جوین - سلطان آباد,جوین,آق قلعه,1998-08-29 00:00:00,1377-06-07,25.32,0.07,,,,25.32
21,21,21,جوین - سلطان آباد,جوین,آق قلعه,1998-09-29 00:00:00,1377-07-07,25.57,0.07,,,,25.57
22,22,22,جوین - سلطان آباد,جوین,آق قلعه,1998-11-10 00:00:00,1377-08-19,25.46,0.07,,,,25.46
23,23,23,جوین - سلطان آباد,جوین,آق قلعه,1998-12-15 00:00:00,1377-09-24,25.47,0.07,,,,25.47
24,24,24,جوین - سلطان آباد,جوین,آق قلعه,1999-01-06 00:00:00,1377-10-16,25.39,0.07,,,,25.39
25,25,25,جوین - سلطان آباد,جوین,آق قلعه,1999-02-09 00:00:00,1377-11-20,25.26,0.07,,,,25.26
26,26,26,جوین - سلطان آباد,جوین,آق قلعه,1999-03-06 00:00:00,1377-12-15,25.24,0.07,,,,25.24
