,سال,ماه,تراز ماهانه سطح آب زیرزمینی,مساحت شبکه تیسن,ضریب ذخیره,سال آبی,ماه آبی,تغییرات هر ماه نسبت به ماه قبل,تغییرات هر ماه نسبت به ماه سال قبل,تغییرات ذخیره آبخوان هر ماه نسبت به ماه قبل,تغییرات ذخیره آبخوان هر ماه نسبت به ماه سال قبل
0,1380,1,1037.62,2422.88,0.06,1379-80,7,,,,
1,1380,2,1037.24,2422.88,0.06,1379-80,8,-0.38,,-55.24,
2,1380,3,1036.97,2422.88,0.06,1379-80,9,-0.27,,-39.25,
3,1380,4,1036.53,2422.88,0.06,1379-80,10,-0.44,,-63.96,
4,1380,5,1036.23,2422.88,0.06,1379-80,11,-0.3,,-43.61,
5,1380,6,1036.0,2422.88,0.06,1379-80,12,-0.23,,-33.44,
6,1380,7,1035.8,2422.88,0.06,1380-81,1,-0.2,,-29.07,
7,1380,8,1035.72,2422.88,0.06,1380-81,2,-0.08,,-11.63,
8,1380,9,1035.84,2422.88,0.06,1380-81,3,0.12,,17.44,
9,1380,10,1035.8,2422.88,0.06,1380-81,4,-0.04,,-5.81,
10,1380,11,1035.89,2422.88,0.06,1380-81,5,0.09,,13.08,
11,1380,12,1036.05,2422.88,0.06,1380-81,6,0.16,,23.26,
12,1381,1,1036.08,2422.88,0.06,1380-81,7,0.03,-1.54,4.36,-223.87
13,1381,2,1035.89,2422.88,0.06,1380-81,8,-0.19,-1.35,-27.62,-196.25
14,1381,3,1035.46,2422.88,0.06,1380-81,9,-0.43,-1.51,-62.51,-219.51
15,1381,4,1035.37,2422.88,0.06,1380-81,10,-0.09,-1.16,-13.08,-168.63
16,1381,5,1035.14,2422.88,0.06,1380-81,11,-0.23,-1.09,-33.44,-158.46
17,1381,6,1034.9,2422.88,0.06,1380-81,12,-0.24,-1.1,-34.89,-159.91
18,1381,7,1034.81,2422.88,0.06,1381-82,1,-0.09,-0.99,-13.08,-143.92
19,1381,8,1034.8,2422.88,0.06,1381-82,2,-0.01,-0.92,-1.45,-133.74
20,1381,9,1034.87,2422.88,0.06,1381-82,3,0.07,-0.97,10.18,-141.01
21,1381,10,1035.14,2422.88,0.06,1381-82,4,0.27,-0.66,39.25,-95.95
22,1381,11,1035.25,2422.88,0.06,1381-82,5,0.11,-0.64,15.99,-93.04
23,1381,12,1035.2,2422.88,0.06,1381-82,6,-0.05,-0.85,-7.27,-123.57
24,1382,1,1035.09,2422.88,0.06,1381-82,7,-0.11,-0.99,-15.99,-143.92
25,1382,2,1035.2,2422.88,0.06,1381-82,8,0.11,-0.69,15.99,-100.31
26,1382,3,1034.91,2422.88,0.06,1381-82,9,-0.29,-0.55,-42.16,-79.96
27,1382,4,1034.64,2422.88,0.06,1381-82,10,-0.27,-0.73,-39.25,-106.12
28,1382,5,1034.35,2422.88,0.06,1381-82,11,-0.29,-0.79,-42.16,-114.84
29,1382,6,1034.15,2422.88,0.06,1381-82,12,-0.2,-0.75,-29.07,-109.03
30,1382,7,1034.13,2422.88,0.06,1382-83,1,-0.02,-0.68,-2.91,-98.85
31,1382,8,1034.17,2422.88,0.06,1382-83,2,0.04,-0.63,5.81,-91.58
32,1382,9,1034.37,2422.88,0.06,1382-83,3,0.2,-0.5,29.07,-72.69
33,1382,10,1034.55,2422.88,0.06,1382-83,4,0.18,-0.59,26.17,-85.77
34,1382,11,1034.74,2422.88,0.06,1382-83,5,0.19,-0.51,27.62,-74.14
35,1382,12,1034.72,2422.88,0.06,1382-83,6,-0.02,-0.48,-2.91,-69.78
36,1383,1,1034.7,2422.88,0.06,1382-83,7,-0.02,-0.39,-2.91,-56.7
37,1383,2,1034.55,2422.88,0.06,1382-83,8,-0.15,-0.65,-21.81,-94.49
38,1383,3,1034.3,2422.88,0.06,1382-83,9,-0.25,-0.61,-36.34,-88.68
39,1383,4,1034.03,2422.88,0.06,1382-83,10,-0.27,-0.61,-39.25,-88.68
40,1383,5,1033.82,2422.88,0.06,1382-83,11,-0.21,-0.53,-30.53,-77.05
41,1383,6,1033.59,2422.88,0.06,1382-83,12,-0.23,-0.56,-33.44,-81.41
42,1383,7,1033.49,2422.88,0.06,1383-84,1,-0.1,-0.64,-14.54,-93.04
43,1383,8,1033.58,2422.88,0.06,1383-84,2,0.09,-0.59,13.08,-85.77
44,1383,9,1033.68,2422.88,0.06,1383-84,3,0.1,-0.69,14.54,-100.31
45,1383,10,1033.91,2422.88,0.06,1383-84,4,0.23,-0.64,33.44,-93.04
46,1383,11,1034.09,2422.88,0.06,1383-84,5,0.18,-0.65,26.17,-94.49
47,1383,12,1034.06,2422.88,0.06,1383-84,6,-0.03,-0.66,-4.36,-95.95
48,1384,1,1034.04,2422.88,0.06,1383-84,7,-0.02,-0.66,-2.91,-95.95
49,1384,2,1034.01,2422.88,0.06,1383-84,8,-0.03,-0.54,-4.36,-78.5
50,1384,3,1033.85,2422.88,0.06,1383-84,9,-0.16,-0.45,-23.26,-65.42
51,1384,4,,,,1383-84,10,,,,
52,1384,5,,,,1383-84,11,,,,
53,1384,6,,,,1383-84,12,,,,
54,1384,7,1033.39,2422.88,0.06,1384-85,1,,-0.1,,-14.54
55,1384,8,1033.42,2422.88,0.06,1384-85,2,0.03,-0.16,4.36,-23.26
56,1384,9,1033.47,2422.88,0.06,1384-85,3,0.05,-0.21,7.27,-30.53
57,1384,10,1033.58,2422.88,0.06,1384-85,4,0.11,-0.33,15.99,-47.97
58,1384,11,1033.94,2422.88,0.06,1384-85,5,0.36,-0.15,52.33,-21.81
59,1384,12,1034.01,2422.88,0.06,1384-85,6,0.07,-0.05,10.18,-7.27
60,1385,1,1033.83,2422.88,0.06,1384-85,7,-0.18,-0.21,-26.17,-30.53
61,1385,2,1033.54,2422.88,0.06,1384-85,8,-0.29,-0.47,-42.16,-68.33
62,1385,3,1033.18,2422.88,0.06,1384-85,9,-0.36,-0.67,-52.33,-97.4
63,1385,4,1032.82,2422.88,0.06,1384-85,10,-0.36,,-52.33,
64,1385,5,1032.48,2422.88,0.06,1384-85,11,-0.34,,-49.43,
65,1385,6,1032.21,2422.88,0.06,1384-85,12,-0.27,,-39.25,
66,1385,7,1032.11,2422.88,0.06,1385-86,1,-0.1,-1.28,-14.54,-186.08
67,1385,8,1032.09,2422.88,0.06,1385-86,2,-0.02,-1.33,-2.91,-193.35
68,1385,9,1032.12,2422.88,0.06,1385-86,3,0.03,-1.35,4.36,-196.25
69,1385,10,1032.35,2422.88,0.06,1385-86,4,0.23,-1.23,33.44,-178.81
70,1385,11,1032.59,2422.88,0.06,1385-86,5,0.24,-1.35,34.89,-196.25
71,1385,12,1032.63,2422.88,0.06,1385-86,6,0.04,-1.38,5.81,-200.61
72,1386,1,1032.74,2422.88,0.06,1385-86,7,0.11,-1.09,15.99,-158.46
73,1386,2,1032.67,2422.88,0.06,1385-86,8,-0.07,-0.87,-10.18,-126.47
74,1386,3,1032.47,2422.88,0.06,1385-86,9,-0.2,-0.71,-29.07,-103.21
75,1386,4,1032.19,2422.88,0.06,1385-86,10,-0.28,-0.63,-40.7,-91.58
76,1386,5,1031.92,2422.88,0.06,1385-86,11,-0.27,-0.56,-39.25,-81.41
77,1386,6,1031.75,2422.88,0.06,1385-86,12,-0.17,-0.46,-24.71,-66.87
78,1386,7,1031.79,2422.88,0.06,1386-87,1,0.04,-0.32,5.81,-46.52
79,1386,8,1031.83,2422.88,0.06,1386-87,2,0.04,-0.26,5.81,-37.8
80,1386,9,1031.88,2422.88,0.06,1386-87,3,0.05,-0.24,7.27,-34.89
81,1386,10,1032.15,2422.88,0.06,1386-87,4,0.27,-0.2,39.25,-29.07
82,1386,11,1032.6,2422.88,0.06,1386-87,5,0.45,0.01,65.42,1.45
83,1386,12,1032.79,2422.88,0.06,1386-87,6,0.19,0.16,27.62,23.26
84,1387,1,1032.52,2422.88,0.06,1386-87,7,-0.27,-0.22,-39.25,-31.98
85,1387,2,1032.2,2422.88,0.06,1386-87,8,-0.32,-0.47,-46.52,-68.33
86,1387,3,1031.9,2422.88,0.06,1386-87,9,-0.3,-0.57,-43.61,-82.86
87,1387,4,1031.56,2422.88,0.06,1386-87,10,-0.34,-0.63,-49.43,-91.58
88,1387,5,1031.24,2422.88,0.06,1386-87,11,-0.32,-0.68,-46.52,-98.85
89,1387,6,1030.97,2422.88,0.06,1386-87,12,-0.27,-0.78,-39.25,-113.39
90,1387,7,1030.89,2422.88,0.06,1387-88,1,-0.08,-0.9,-11.63,-130.84
91,1387,8,1030.85,2422.88,0.06,1387-88,2,-0.04,-0.98,-5.81,-142.47
92,1387,9,1030.82,2422.88,0.06,1387-88,3,-0.03,-1.06,-4.36,-154.1
93,1387,10,1031.01,2422.88,0.06,1387-88,4,0.19,-1.14,27.62,-165.72
94,1387,11,1031.35,2422.88,0.06,1387-88,5,0.34,-1.25,49.43,-181.72
95,1387,12,1031.29,2422.88,0.06,1387-88,6,-0.06,-1.5,-8.72,-218.06
96,1388,1,1031.28,2422.88,0.06,1387-88,7,-0.01,-1.24,-1.45,-180.26
97,1388,2,1031.28,2422.88,0.06,1387-88,8,0.0,-0.92,0.0,-133.74
98,1388,3,1031.13,2422.88,0.06,1387-88,9,-0.15,-0.77,-21.81,-111.94
99,1388,4,1030.83,2422.88,0.06,1387-88,10,-0.3,-0.73,-43.61,-106.12
100,1388,5,1030.44,2422.88,0.06,1387-88,11,-0.39,-0.8,-56.7,-116.3
101,1388,6,1030.18,2422.88,0.06,1387-88,12,-0.26,-0.79,-37.8,-114.84
102,1388,7,1030.12,2422.88,0.06,1388-89,1,-0.06,-0.77,-8.72,-111.94
103,1388,8,1030.05,2422.88,0.06,1388-89,2,-0.07,-0.8,-10.18,-116.3
104,1388,9,1030.07,2422.88,0.06,1388-89,3,0.02,-0.75,2.91,-109.03
105,1388,10,1030.25,2422.88,0.06,1388-89,4,0.18,-0.76,26.17,-110.48
106,1388,11,1030.4,2422.88,0.06,1388-89,5,0.15,-0.95,21.81,-138.1
107,1388,12,1030.5,2422.88,0.06,1388-89,6,0.1,-0.79,14.54,-114.84
108,1389,1,1030.49,2422.88,0.06,1388-89,7,-0.01,-0.79,-1.45,-114.84
109,1389,2,1030.33,2422.88,0.06,1388-89,8,-0.16,-0.95,-23.26,-138.1
110,1389,3,1030.16,2422.88,0.06,1388-89,9,-0.17,-0.97,-24.71,-141.01
111,1389,4,1029.99,2422.88,0.06,1388-89,10,-0.17,-0.84,-24.71,-122.11
112,1389,5,1029.72,2422.88,0.06,1388-89,11,-0.27,-0.72,-39.25,-104.67
113,1389,6,1029.53,2422.88,0.06,1388-89,12,-0.19,-0.65,-27.62,-94.49
114,1389,7,1029.53,2422.88,0.06,1389-90,1,0.0,-0.59,0.0,-85.77
115,1389,8,1029.47,2422.88,0.06,1389-90,2,-0.06,-0.58,-8.72,-84.32
116,1389,9,1029.4,2422.88,0.06,1389-90,3,-0.07,-0.67,-10.18,-97.4
117,1389,10,1029.52,2422.88,0.06,1389-90,4,0.12,-0.73,17.44,-106.12
118,1389,11,1029.79,2422.88,0.06,1389-90,5,0.27,-0.61,39.25,-88.68
119,1389,12,1030.05,2422.88,0.06,1389-90,6,0.26,-0.45,37.8,-65.42
120,1390,1,1030.08,2422.88,0.06,1389-90,7,0.03,-0.41,4.36,-59.6
121,1390,2,1029.87,2422.88,0.06,1389-90,8,-0.21,-0.46,-30.53,-66.87
122,1390,3,1029.63,2422.88,0.06,1389-90,9,-0.24,-0.53,-34.89,-77.05
123,1390,4,1029.44,2422.88,0.06,1389-90,10,-0.19,-0.55,-27.62,-79.96
124,1390,5,1029.12,2422.88,0.06,1389-90,11,-0.32,-0.6,-46.52,-87.22
125,1390,6,1028.91,2422.88,0.06,1389-90,12,-0.21,-0.62,-30.53,-90.13
126,1390,7,1028.86,2422.88,0.06,1390-91,1,-0.05,-0.67,-7.27,-97.4
127,1390,8,1028.93,2422.88,0.06,1390-91,2,0.07,-0.54,10.18,-78.5
128,1390,9,1029.15,2422.88,0.06,1390-91,3,0.22,-0.25,31.98,-36.34
129,1390,10,1029.29,2422.88,0.06,1390-91,4,0.14,-0.23,20.35,-33.44
130,1390,11,1029.63,2422.88,0.06,1390-91,5,0.34,-0.16,49.43,-23.26
131,1390,12,1029.63,2422.88,0.06,1390-91,6,0.0,-0.42,0.0,-61.06
132,1391,1,1029.47,2422.88,0.06,1390-91,7,-0.16,-0.61,-23.26,-88.68
133,1391,2,1029.3,2422.88,0.06,1390-91,8,-0.17,-0.57,-24.71,-82.86
134,1391,3,1029.17,2422.88,0.06,1390-91,9,-0.13,-0.46,-18.9,-66.87
135,1391,4,1029.01,2422.88,0.06,1390-91,10,-0.16,-0.43,-23.26,-62.51
136,1391,5,1028.74,2422.88,0.06,1390-91,11,-0.27,-0.38,-39.25,-55.24
137,1391,6,1028.55,2422.88,0.06,1390-91,12,-0.19,-0.36,-27.62,-52.33
138,1391,7,1028.57,2422.88,0.06,1391-92,1,0.02,-0.29,2.91,-42.16
139,1391,8,1028.63,2422.88,0.06,1391-92,2,0.06,-0.3,8.72,-43.61
140,1391,9,1028.69,2422.88,0.06,1391-92,3,0.06,-0.46,8.72,-66.87
141,1391,10,1029.05,2422.88,0.06,1391-92,4,0.36,-0.24,52.33,-34.89
142,1391,11,1029.44,2422.88,0.06,1391-92,5,0.39,-0.19,56.7,-27.62
143,1391,12,1029.56,2422.88,0.06,1391-92,6,0.12,-0.07,17.44,-10.18
144,1392,1,1029.67,2422.88,0.06,1391-92,7,0.11,0.2,15.99,29.07
145,1392,2,1029.55,2422.88,0.06,1391-92,8,-0.12,0.25,-17.44,36.34
146,1392,3,1029.26,2422.88,0.06,1391-92,9,-0.29,0.09,-42.16,13.08
147,1392,4,1029.02,2422.88,0.06,1391-92,10,-0.24,0.01,-34.89,1.45
148,1392,5,1028.87,2422.88,0.06,1391-92,11,-0.15,0.13,-21.81,18.9
149,1392,6,1028.52,2422.88,0.06,1391-92,12,-0.35,-0.03,-50.88,-4.36
150,1392,7,1028.49,2422.88,0.06,1392-93,1,-0.03,-0.08,-4.36,-11.63
151,1392,8,1028.48,2422.88,0.06,1392-93,2,-0.01,-0.15,-1.45,-21.81
152,1392,9,1028.54,2422.88,0.06,1392-93,3,0.06,-0.15,8.72,-21.81
153,1392,10,1028.6,2422.88,0.06,1392-93,4,0.06,-0.45,8.72,-65.42
154,1392,11,1028.77,2422.88,0.06,1392-93,5,0.17,-0.67,24.71,-97.4
155,1392,12,1028.96,2422.88,0.06,1392-93,6,0.19,-0.6,27.62,-87.22
156,1393,1,1029.0,2422.88,0.06,1392-93,7,0.04,-0.67,5.81,-97.4
157,1393,2,1028.83,2422.88,0.06,1392-93,8,-0.17,-0.72,-24.71,-104.67
158,1393,3,1028.56,2422.88,0.06,1392-93,9,-0.27,-0.7,-39.25,-101.76
159,1393,4,1028.29,2422.88,0.06,1392-93,10,-0.27,-0.73,-39.25,-106.12
160,1393,5,1027.96,2422.88,0.06,1392-93,11,-0.33,-0.91,-47.97,-132.29
161,1393,6,1027.76,2422.88,0.06,1392-93,12,-0.2,-0.76,-29.07,-110.48
162,1393,7,1027.72,2422.88,0.06,1393-94,1,-0.04,-0.77,-5.81,-111.94
163,1393,8,1027.77,2422.88,0.06,1393-94,2,0.05,-0.71,7.27,-103.21
164,1393,9,1027.79,2422.88,0.06,1393-94,3,0.02,-0.75,2.91,-109.03
165,1393,10,1027.95,2422.88,0.06,1393-94,4,0.16,-0.65,23.26,-94.49
166,1393,11,1028.06,2422.88,0.06,1393-94,5,0.11,-0.71,15.99,-103.21
167,1393,12,1028.17,2422.88,0.06,1393-94,6,0.11,-0.79,15.99,-114.84
168,1394,1,1028.09,2422.88,0.06,1393-94,7,-0.08,-0.91,-11.63,-132.29
169,1394,2,1027.87,2422.88,0.06,1393-94,8,-0.22,-0.96,-31.98,-139.56
170,1394,3,1027.58,2422.88,0.06,1393-94,9,-0.29,-0.98,-42.16,-142.47
171,1394,4,1027.27,2422.88,0.06,1393-94,10,-0.31,-1.02,-45.07,-148.28
172,1394,5,1026.94,2422.88,0.06,1393-94,11,-0.33,-1.02,-47.97,-148.28
173,1394,6,1026.88,2422.88,0.06,1393-94,12,-0.06,-0.88,-8.72,-127.93
174,1394,7,1027.0,2422.88,0.06,1394-95,1,0.12,-0.72,17.44,-104.67
175,1394,8,1027.07,2422.88,0.06,1394-95,2,0.07,-0.7,10.18,-101.76
176,1394,9,1027.07,2422.88,0.06,1394-95,3,0.0,-0.72,0.0,-104.67
177,1394,10,1027.18,2422.88,0.06,1394-95,4,0.11,-0.77,15.99,-111.94
178,1394,11,1027.16,2422.88,0.06,1394-95,5,-0.02,-0.9,-2.91,-130.84
179,1394,12,1027.26,2422.88,0.06,1394-95,6,0.1,-0.91,14.54,-132.29
180,1395,1,1027.27,2422.88,0.06,1394-95,7,0.01,-0.82,1.45,-119.21
181,1395,2,1027.23,2422.88,0.06,1394-95,8,-0.04,-0.64,-5.81,-93.04
182,1395,3,1027.07,2422.88,0.06,1394-95,9,-0.16,-0.51,-23.26,-74.14
183,1395,4,1026.92,2422.88,0.06,1394-95,10,-0.15,-0.35,-21.81,-50.88
184,1395,5,1026.68,2422.88,0.06,1394-95,11,-0.24,-0.26,-34.89,-37.8
185,1395,6,1026.52,2422.88,0.06,1394-95,12,-0.16,-0.36,-23.26,-52.33
186,1395,7,1026.51,2422.88,0.06,1395-96,1,-0.01,-0.49,-1.45,-71.23
187,1395,8,1026.55,2422.88,0.06,1395-96,2,0.04,-0.52,5.81,-75.59
188,1395,9,1026.56,2422.88,0.06,1395-96,3,0.01,-0.51,1.45,-74.14
189,1395,10,1026.65,2422.88,0.06,1395-96,4,0.09,-0.53,13.08,-77.05
190,1395,11,,,,1395-96,5,,,,
191,1395,12,,,,1395-96,6,,,,
192,1396,1,,,,1395-96,7,,,,
